date,type,total,pct
2020-06-05,bridgetunnel,643562,-37.242857142857126
2020-06-05,bus,772900,-60.71428571428568
2020-06-05,citibike,33127,-28.971428571428746
2020-06-05,lirr,33500,-88
2020-06-05,metronorth,25200,-89.14285714285714
2020-06-05,subway,704825,-86.61428571428576
2020-06-06,bridgetunnel,551793,-35.8142857142857
2020-06-06,bus,648000,-59.71428571428568
2020-06-06,citibike,56418,-25.642857142857324
2020-06-06,lirr,18100,-87.57142857142857
2020-06-06,metronorth,23600,-88.85714285714286
2020-06-06,subway,464207,-86.31428571428576
2020-06-07,bridgetunnel,538419,-34.51428571428569
2020-06-07,bus,531900,-58.71428571428568
2020-06-07,citibike,80612,-19.285714285714462
2020-06-07,lirr,16800,-87.14285714285714
2020-06-07,metronorth,18500,-88.57142857142857
2020-06-07,subway,378085,-85.92857142857147
2020-06-08,bridgetunnel,644830,-34.114285714285685
2020-06-08,bus,863400,-58.57142857142854
2020-06-08,citibike,60975,-18.37142857142875
2020-06-08,lirr,42600,-86.71428571428571
2020-06-08,metronorth,30500,-88.42857142857143
2020-06-08,subway,806138,-85.68571428571433
2020-06-09,bridgetunnel,680462,-32.5285714285714
2020-06-09,bus,916900,-57.428571428571395
2020-06-09,citibike,61922,-11.01428571428589
2020-06-09,lirr,42300,-86.14285714285714
2020-06-09,metronorth,29500,-88.14285714285714
2020-06-09,subway,843968,-85.21428571428575
2020-06-10,bridgetunnel,680270,-31.74285714285712
2020-06-10,bus,914700,-56.857142857142826
2020-06-10,citibike,63420,-4.500000000000185
2020-06-10,lirr,43100,-85.28571428571429
2020-06-10,metronorth,30800,-87.42857142857143
2020-06-10,subway,858782,-84.81428571428576
2020-06-11,bridgetunnel,656696,-31.7285714285714
2020-06-11,bus,830100,-55.999999999999964
2020-06-11,citibike,44057,-4.614285714285884
2020-06-11,lirr,41000,-84.71428571428571
2020-06-11,metronorth,29100,-86.85714285714286
2020-06-11,subway,819873,-84.2571428571429
2020-06-12,bridgetunnel,765492,-32.08571428571426
2020-06-12,bus,966300,-55.857142857142826
2020-06-12,citibike,72780,-5.314285714285887
2020-06-12,lirr,45100,-84.57142857142857
2020-06-12,metronorth,33700,-86.57142857142857
2020-06-12,subway,898314,-84.08571428571432
2020-06-13,bridgetunnel,631065,-31.542857142857116
2020-06-13,bus,706800,-55.14285714285711
2020-06-13,citibike,89983,-4.542857142857315
2020-06-13,lirr,25400,-84.42857142857143
2020-06-13,metronorth,32400,-86.28571428571429
2020-06-13,subway,545333,-83.80000000000004
2020-06-14,bridgetunnel,563725,-30.99999999999997
2020-06-14,bus,571200,-54.285714285714256
2020-06-14,citibike,80054,-4.400000000000176
2020-06-14,lirr,20900,-84.28571428571429
2020-06-14,metronorth,22700,-86
2020-06-14,subway,430446,-83.51428571428575
2020-06-15,bridgetunnel,674785,-30.228571428571385
2020-06-15,bus,940900,-52.857142857142826
2020-06-15,citibike,57743,-0.5714285714287541
2020-06-15,lirr,47500,-84
2020-06-15,metronorth,34500,-85.71428571428571
2020-06-15,subway,898925,-83.20000000000005
2020-06-16,bridgetunnel,695359,-29.62857142857139
2020-06-16,bus,961000,-51.14285714285711
2020-06-16,citibike,65506,0.6714285714283932
2020-06-16,lirr,46900,-83.85714285714286
2020-06-16,metronorth,34100,-85.42857142857143
2020-06-16,subway,934545,-82.90000000000003
2020-06-17,bridgetunnel,709680,-29.07142857142854
2020-06-17,bus,977200,-50.428571428571395
2020-06-17,citibike,64185,-1.0571428571430346
2020-06-17,lirr,47200,-83.42857142857143
2020-06-17,metronorth,36300,-85
2020-06-17,subway,950318,-82.84285714285718
2020-06-18,bridgetunnel,729487,-28.057142857142836
2020-06-18,bus,977700,-50.71428571428568
2020-06-18,citibike,62311,-2.7000000000001734
2020-06-18,lirr,47900,-82.42857142857143
2020-06-18,metronorth,35800,-84.42857142857143
2020-06-18,subway,944318,-83.04285714285717
2020-06-19,bridgetunnel,797519,-27.51428571428569
2020-06-19,bus,1035300,-49.999999999999964
2020-06-19,citibike,79476,-2.2285714285716125
2020-06-19,lirr,50200,-82.14285714285714
2020-06-19,metronorth,38800,-84.28571428571429
2020-06-19,subway,988680,-82.7571428571429
